idx	uid	img_path	fig_num	caption
10	PMC4790886	/imgs/512/139/4790886/PMC4790886_ppat.1005500.g004.png	ppat.1005500.g004	<b>PSGL-1</b> recognizes the pneumococcal LytA autolysin and the capsular polysaccharide.(A) ELISA showing binding of different concentrations of <b>PSGL-1</b> to S. pneumoniae D39 (gray circles) and its isogenic lytA mutant (black squares). (B) ELISA showing binding of different concentrations of <b>PSGL-1</b> to S. pneumoniae TIGR4 (gray circles) and its isogenic lytA mutant (black squares). (C) ELISA representing binding of 50 g of purified LytA protein to different concentrations of <b>PSGL-1</b>. (D) ELISA representing binding of 0.5 g/ml of <b>PSGL-1</b> to M11 strain and an isogenic M11 lytA mutant. (E) ELISA showing binding of different concentrations of <b>PSGL-1</b> to the unencapsulated M11 strain (open bars) and the corresponding isogenic transformants expressing CPS of serotypes 3 (gray bars), 6B (striped bars) and 19A (hatched bars). (F) ELISA indicating binding of 50 g of CPS of serotype 3 (CPS3) to different concentrations of <b>PSGL-1</b>. Error bars represent the SDs and asterisks indicate significant P-values for comparison of results of S. pneumoniae wild-type strains versus the corresponding mutants. For the direct recognition between <b>PSGL-1</b> and LytA or CPS, asterisks indicate statistical significance of purified LytA protein or CPS3 incubated with <b>PSGL-1</b> in comparison to the incubation of LytA or CPS3 in the absence of <b>PSGL-1</b>
11	PMC2133017	/imgs/512/98/2133017/PMC2133017_JCB12596.f7a.png	F7	Cell surface distribution of <b>PSGL-1</b> and C320A on  transfected K562 cells. (A) Low power photomicrograph  (3,000) of K562/FucT-VII/<b>PSGL-1</b> cells. Note the prominent  and varied microvilli and ruffles on these cells. (B) High power  (8,000) of K562/FucT-VII/<b>PSGL-1</b> cells. (C) High power  (8,000) of K562/FucT-VII/C320A cells. Both cell types exhibited a uniform distribution of <b>PSGL-1</b> on both microvilli and the  cell body.
12	PMC2133017	/imgs/512/98/2133017/PMC2133017_JCB12596.f7b.png	F7	Cell surface distribution of <b>PSGL-1</b> and C320A on  transfected K562 cells. (A) Low power photomicrograph  (3,000) of K562/FucT-VII/<b>PSGL-1</b> cells. Note the prominent  and varied microvilli and ruffles on these cells. (B) High power  (8,000) of K562/FucT-VII/<b>PSGL-1</b> cells. (C) High power  (8,000) of K562/FucT-VII/C320A cells. Both cell types exhibited a uniform distribution of <b>PSGL-1</b> on both microvilli and the  cell body.
13	PMC2133017	/imgs/512/98/2133017/PMC2133017_JCB12596.f7c.png	F7	Cell surface distribution of <b>PSGL-1</b> and C320A on  transfected K562 cells. (A) Low power photomicrograph  (3,000) of K562/FucT-VII/<b>PSGL-1</b> cells. Note the prominent  and varied microvilli and ruffles on these cells. (B) High power  (8,000) of K562/FucT-VII/<b>PSGL-1</b> cells. (C) High power  (8,000) of K562/FucT-VII/C320A cells. Both cell types exhibited a uniform distribution of <b>PSGL-1</b> on both microvilli and the  cell body.
14	PMC2973824	/imgs/512/8/2973824/PMC2973824_ppat.1001174.g003.png	ppat-1001174-g003	Effect of sodium chlorate on <b>PSGL-1</b> binding to EV71-1095.Pretreatment of 293T/<b>PSGL-1</b> cells with sodium chlorate reduces EV71-1095 binding in a dose-dependent manner. (A) <b>PSGL-1</b> expression on the cell surface, as measured with flow cytometry. As a negative control, 293T/<b>PSGL-1</b> cells cultured in the absence of sodium chlorate were stained with an isotype control antibody. (B) Sulfated tyrosines on the cell surface, as measured with flow cytometry. As a negative control, 293T/<b>PSGL-1</b> cells cultured in the absence of sodium chlorate were stained with an isotype control antibody. (C) The cells were examined with the EV71 binding assay using flow cytometry. As a binding control, 293T/<b>PSGL-1</b> cells were treated with mock-infected culture supernatant. The data are representative of three independent experiments.
15	PMC4790886	/imgs/512/139/4790886/PMC4790886_ppat.1005500.g001.png	ppat.1005500.g001	<b>PSGL-1</b> on HL-60 cells and murine neutrophils is required for phagocytosis of S. pneumoniae.(A) Phagocytosis mediated by <b>PSGL-1</b> of FAM-SE-labeled pneumococcal clinical isolates belonging to different serotypes using a flow cytometry assay. HL-60 cells were incubated with an IgG isotype negative control that does not block <b>PSGL-1</b> (black bars), whereas cells exposed to the KPL-1 antibody had the <b>PSGL-1</b> blocked (open bars). (B) Examples of flow cytometry histograms of pneumococcal binding to cells incubated with KPL-1 (red) or IgG control (green). (C) Bacterial survival indicated as CFU/ml of recovered bacteria from HL-60 cells previously exposed (open bars) or not (black bars) to KPL-1. (DE) Phagocytosis of FAM-SE-labeled D39 strain by neutrophils isolated from the spleen of wild-type (black bar and green histogram) or <b>PSGL-1</b>/mice (open bar and red histogram). The blue line in the histogram shows the pattern of non-infected cells. Error bars represent the SDs and asterisks indicate statistical significance after incubation with KPL-1 compared to the exposure to IgG isotype control or between OP using neutrophils from wild-type mice vs those from <b>PSGL-1</b>/mice. Error bars represent the SDs and asterisks indicate statistical significance after incubation with KPL-1 compared to the exposure to IgG isotype control.
16	PMC3804951	/imgs/512/263/3804951/PMC3804951_JEM_20130664_Fig2.png	fig2	The association between <b>PSGL-1</b> and L-selectin increases after stimulation. (AC) Representative images of neutrophils rolling on a P-selectincoated substrate using qDF microscopy. Cells were stained with an antibody for L-selectin (Mel-14, Alexa Fluor 488 coupled; A) or an IgG2a control antibody (Alexa Fluor 488 coupled; B) and DiI for visualizing the cell membrane (n = 3). The small arrows in AC signify a sling at the front of a rolling neutrophil. Gray arrows indicate the direction of flow. (C) Cells were stained with an Alexa Fluor 488Mel14 antibody to L-selectin and an Alexa Fluor 5684RB12 antibody to <b>PSGL-1</b> showing the distribution of these two molecules on the cell surface during rolling in a flow chamber coated with P-selectin (n = 3). (D) Quantification of the number of tethers per cell positive for L-selectin or <b>PSGL-1</b> or showing a colocalization of L-selectin and <b>PSGL-1</b> (n = 3). (E and F) Representative images (F) and quantification (E) of the MFI of a PLA of unstimulated and E-selectinstimulated BM-derived neutrophils from WT mice in the presence or absence of methyl--cyclodextrin or its inactive analogue -cyclodextrin (n = 3). Using antibodies of different species (4RB12 for <b>PSGL-1</b> and N-18 for L-selectin) and species-specific secondary antibodies coupled to a DNA strand, a reaction using rolling circle amplification and ligation is started when the two molecules are in close proximity. A fluorescent signal is produced when two tested molecules are within 40 nm of each other. DIC, differential interference contrast. (G and H) Quantification of the MFI of FRET experiments comparing unstimulated and E-selectinstimulated neutrophils. FRET was tested by flow cytometry between L-selectin (labeled by antiL-selectin antibody LAM1-101 antibody coupled to Alexa Fluor 488) and <b>PSGL-1</b> (labeled by an anti<b>PSGL-1</b> antibody 4RB12 coupled to Alexa Fluor 488) and as a negative control, L-selectin and CXCR2 (n = 3). (D, E, G, and H) Data are presented as means  SEM. *, P &lt; 0.05. Bars, 5 m.
17	PMC2195714	/imgs/512/239/2195714/PMC2195714_JEM990987.f2.png	F2	Northern blot analysis of tissue for <b>PSGL-1</b> mRNA. Total RNA isolated from the thymus and spleen of <b>PSGL-1</b> (/) and <b>PSGL-1</b> (+/+) mice was subjected to electrophoresis, and the RNA was transferred to a Duralon-UV membrane. The <b>PSGL-1</b> messenger RNA was detected with a probe representing most of the coding region. The membrane was stripped and probed with a cDNA probe for -actin.
18	PMC2195714	/imgs/512/239/2195714/PMC2195714_JEM990987.f6c.png	F6	Leukocyte rolling after mild trauma. Intravital microscopy of cremaster muscle venules within 30 min of the initiation of surgery revealed the presence of a large number of rolling leukocytes (arrows) associated with the vascular wall in wild-type mice (A) and no leukocytes associated with the vascular wall in <b>PSGL-1</b>deficient mice (B). Videos available at http://www.jem.org/cgi/content/full/190/12/1769/F6/DC1 correspond to A and B. The leukocyte rolling flux fraction, measured as the number of rolling leukocytes compared with the total leukocytes in flowing blood per unit time, is compared for <b>PSGL-1</b>+/+, <b>PSGL-1</b>/, P-selectin (P-sel)+/+, and P-selectin/ mice in this assay system (C). Both <b>PSGL-1</b>/ and P-selectin/ mice have low but measurable leukocyte rolling flux fractions.
19	PMC3804951	/imgs/512/263/3804951/PMC3804951_JEM_20130664_Fig1.png	fig1	L-selectin and <b>PSGL-1</b> form a complex in primary neutrophils. (A) Neutrophil lysate was centrifuged in a discontinuous sucrose gradient. Fractions collected from the top were analyzed by Western blotting (n = 3). (B and C) Lysates of WT BM-derived neutrophils (in the presence or absence of an antiL-selectin antibody), which were plated on uncoated (unstimulated) or selectincoated coverslips for 10 min, were immunoprecipitated (IP) with either a blocking (4RA10) or a nonblocking (4RB12) <b>PSGL-1</b> antibody, followed by immunoblotting (IB) with an L-selectin antibody (n = 3). (D) Lipid fractions were immunoprecipitated with an anti<b>PSGL-1</b> antibody, followed by immunoblotting with an L-selectin antibody (n = 3). (E) Neutrophil lysates were immunoprecipitated with either an antiL-selectin or an anti<b>PSGL-1</b> antibody, followed by immunoblotting with an antibody against <b>PSGL-1</b>, L-selectin, c-Src, Syk, or PLC2 (n = 3). (F) GST or GST fusion proteins containing the cytoplasmic tail of <b>PSGL-1</b> or L-selectin were bound to glutathioneSepharose beads and incubated with neutrophil cell extracts. The proteins, which were pulled down (PD), were analyzed by Western blot with antibodies against Fgr, Hck, Lyn, Syk, and PLC2 (n = 3).
20	PMC2173624	/imgs/512/204/2173624/PMC2173624_200310079f7.png	fig7	P-Selectin mediated aggregation of peritoneal leukocytes. Peritoneal leukocytes were incubated for 1 h under the conditions indicated. The percentage of cells in aggregates (&gt;2 cells/aggregate) was determined by phase-contrast microscopy. (A) Wild-type peritoneal leukocytes incubated at 0C (black bars) or at 37C (white bars) in the presence or absence of blocking antibodies and in the presence of 2 mM CaCl2 or 5 mM EDTA. (B) Peritoneal leukocytes from P-selectin  (P/), <b>PSGL-1</b>  (<b>PSGL-1</b>/), P-selectin  plus <b>PSGL-1</b>  (P/ + <b>PSGL-1</b>/), and P-selectin  plus <b>PSGL-1</b>  in the presence of EDTA (P/ + <b>PSGL-1</b>/ + EDTA) were incubated in the presence of 2 mM CaCl2 at 0C (black bars) or at 37C (white bars). Values are mean  SD.
21	PMC2671458	/imgs/512/397/2671458/PMC2671458_pone.0005403.g009.png	pone-0005403-g009	Schematic representation of reorganization of flotillins, <b>PSGL-1</b>, P-ERM and CD43 during neutrophil activation.Resting cells exhibit randomly dispersed small rafts at the plasma membrane containing flotillins and/or <b>PSGL-1</b> and/or P-ERM and/or CD43. 20 s after addition of chemotactic stimulus, flotillins and <b>PSGL-1</b> co-assemble into large caps at the site of the future uropod, whereas P-ERM and CD43 still are randomly distributed at the plasma membrane. ERM phosphorylation is decreased. These flotillin/<b>PSGL-1</b> caps persist and may mark the site of the future uropod. 5 min after the onset of activation, flotillins, <b>PSGL-1</b>, CD43 and P-ERM all co-cap in the uropod of polarized cells.
22	PMC2118267	/imgs/512/185/2118267/PMC2118267_jem2030907f07.png	fig7	Endothelial <b>PSGL-1</b> expression localized to the small intestine and MLN of <b>PSGL1</b>/  WT bone marrow chimeric mice. (A) Peripheral blood leukocytes from <b>PSGL-1</b>deficient or indicated bone marrow chimeric mice were incubated with PE anti<b>PSGL-1</b> (2PH1) antibody as per Materials and methods. Cells were gated on FSC, SSC, and CD3. (B) Endothelial <b>PSGL-1</b> was detected by immunohistochemistry in mice reconstituted with <b>PSGL-1</b>deficient bone marrow using mAb 4RA10. Bar, 150 m. (C) <b>PSGL-1</b> mRNA levels from indicated organs of bone marrow chimeric and <b>PSGL1</b>/ mice. Indicated tissues were harvested, RNA was obtained, and real-time RT-PCR was performed as per Materials and methods. Representative histograms, tissues, and mRNA expression were obtained from at least four bone marrow chimeric mice per group and run in triplicate. Error bars show the mean  SEM.
23	PMC3501858	/imgs/512/326/3501858/PMC3501858_3219fig3.png	F3	Vasoconstriction and vasorelaxation responses of mesenteric arteries (MA) and DHE fluorescence of MA after treatment with TEMPOL. Control, DIO <b>Psgl-1</b>+/+, and <b>Psgl-1</b>/ mice (n = 57 per group). A: Concentration response to NE. B: Concentration response to SNP. C: Concentration response to Ach. D: Concentration response to Ach after preincubation in l-NAME. E: l-NAMEsensitive maximal vasorelaxation responses to Ach. F: Concentration response to Ach of MA from DIO <b>Psgl-1</b>+/+ after treatment with TEMPOL. G: Concentration response to SNP of MA from DIO <b>Psgl-1</b>+/+ after treatment with TEMPOL. H: DHE fluorescence of MA from DIO <b>Psgl-1</b>+/+ without (left) and with (right) TEMPOL treatment. Scale bar: 50 m. *P &lt; 0.05 compared with DIO <b>Psgl-1</b>/ mice, control <b>Psgl-1</b>/ mice, and control <b>Psgl-1</b>+/+ mice. #P &lt; 0.05 compared with vessels without TEMPOL treatment. (A high-quality color representation of this figure is available in the online issue.)
24	PMC2193129	/imgs/512/60/2193129/PMC2193129_JEM991708.f5.png	F5	Immunogold labeling of resting platelets. (A) Electronmicrograph shows a representative platelet at rest treated with nonspecific mouse IgG. In B, <b>PSGL-1</b> receptors were labeled with <b>PSGL-1</b> specific monoclonal IgG and 15-nm colloidal gold particles coated with goat antimouse IgG as described. <b>PSGL-1</b> specific gold particles are randomly distributed on the cell surface. Bar = 100 nm.
25	PMC2139768	/imgs/512/32/2139768/PMC2139768_JCB.goetz6a.png	F6	The first 19 amino acids of <b>PSGL-1</b> are  sufficient for attachment to CHO-E and -P  monolayers, and the NH2-terminal anionic  polypeptide segment of <b>PSGL-1</b> is necessary for  148.Fc-mediated attachment to CHO-P, but not  CHO-E monolayers. (a) Schematic representation of the <b>PSGL-1</b>.Fc constructs. Closed bars,  <b>PSGL-1</b> segments; open bars, human Fc segments; open bar with X, an internal deletion of  amino acids 511 within the NH2-terminal anionic polypeptide region; shaded bar, the enterokinase cleavage site; Y, amino-terminal tyrosine;  vertical lines with open circles, the approximate  number and location of potential O-linked glycosylation sites; vertical lines with closed circles, O-linked site at amino terminal threonine 16; vertical lines with shaded rectangles, potential N-linked glycosylation sites. (Drawing not to scale.) (b) Microspheres coated with the 19.ek.Fc mutant (open bars), containing  the first 19 amino acids of <b>PSGL-1</b>, attached to CHO-P and -E monolayers at a rate similar to 148.Fc microspheres (dark bars). Microspheres coated with the Y.Fc mutant, which consists of the first 148 amino acids of <b>PSGL-1</b> with an internal deletion of the residues in  positions 511, attached to CHO-E monolayers at a rate similar to 148.Fc microspheres but did not attach to CHO-P monolayers (crosshatched bars). (Shear stress = 2 dynes/cm2; n = 2). (c) An mAb to <b>PSGL-1</b>, KPL1, which requires amino acids 511 to recognize <b>PSGL-1</b>  (Table I), did not affect attachment of 148.Fc microspheres to CHO-E monolayers but eliminated attachment to CHO-P monolayers.  148.Fc microspheres treated with mAb KPL1 attached to CHO-E monolayers at a rate similar to that observed for 148.Fc microspheres  treated with control mAb KPL2 but did not attach to CHO-P monolayers. (Shear stress = 2 dynes/cm2; *P &lt; 0.05; n = 2). (d) mAb  KPL1 eliminated attachment of 19.ek.Fc microspheres to both CHO-E and -P monolayers. (Shear stress = 2 dynes/cm2; *P &lt; 0.05; n = 2).
26	PMC2139768	/imgs/512/32/2139768/PMC2139768_JCB.goetz6b.png	F6	The first 19 amino acids of <b>PSGL-1</b> are  sufficient for attachment to CHO-E and -P  monolayers, and the NH2-terminal anionic  polypeptide segment of <b>PSGL-1</b> is necessary for  148.Fc-mediated attachment to CHO-P, but not  CHO-E monolayers. (a) Schematic representation of the <b>PSGL-1</b>.Fc constructs. Closed bars,  <b>PSGL-1</b> segments; open bars, human Fc segments; open bar with X, an internal deletion of  amino acids 511 within the NH2-terminal anionic polypeptide region; shaded bar, the enterokinase cleavage site; Y, amino-terminal tyrosine;  vertical lines with open circles, the approximate  number and location of potential O-linked glycosylation sites; vertical lines with closed circles, O-linked site at amino terminal threonine 16; vertical lines with shaded rectangles, potential N-linked glycosylation sites. (Drawing not to scale.) (b) Microspheres coated with the 19.ek.Fc mutant (open bars), containing  the first 19 amino acids of <b>PSGL-1</b>, attached to CHO-P and -E monolayers at a rate similar to 148.Fc microspheres (dark bars). Microspheres coated with the Y.Fc mutant, which consists of the first 148 amino acids of <b>PSGL-1</b> with an internal deletion of the residues in  positions 511, attached to CHO-E monolayers at a rate similar to 148.Fc microspheres but did not attach to CHO-P monolayers (crosshatched bars). (Shear stress = 2 dynes/cm2; n = 2). (c) An mAb to <b>PSGL-1</b>, KPL1, which requires amino acids 511 to recognize <b>PSGL-1</b>  (Table I), did not affect attachment of 148.Fc microspheres to CHO-E monolayers but eliminated attachment to CHO-P monolayers.  148.Fc microspheres treated with mAb KPL1 attached to CHO-E monolayers at a rate similar to that observed for 148.Fc microspheres  treated with control mAb KPL2 but did not attach to CHO-P monolayers. (Shear stress = 2 dynes/cm2; *P &lt; 0.05; n = 2). (d) mAb  KPL1 eliminated attachment of 19.ek.Fc microspheres to both CHO-E and -P monolayers. (Shear stress = 2 dynes/cm2; *P &lt; 0.05; n = 2).
27	PMC2139768	/imgs/512/32/2139768/PMC2139768_JCB.goetz6c.png	F6	The first 19 amino acids of <b>PSGL-1</b> are  sufficient for attachment to CHO-E and -P  monolayers, and the NH2-terminal anionic  polypeptide segment of <b>PSGL-1</b> is necessary for  148.Fc-mediated attachment to CHO-P, but not  CHO-E monolayers. (a) Schematic representation of the <b>PSGL-1</b>.Fc constructs. Closed bars,  <b>PSGL-1</b> segments; open bars, human Fc segments; open bar with X, an internal deletion of  amino acids 511 within the NH2-terminal anionic polypeptide region; shaded bar, the enterokinase cleavage site; Y, amino-terminal tyrosine;  vertical lines with open circles, the approximate  number and location of potential O-linked glycosylation sites; vertical lines with closed circles, O-linked site at amino terminal threonine 16; vertical lines with shaded rectangles, potential N-linked glycosylation sites. (Drawing not to scale.) (b) Microspheres coated with the 19.ek.Fc mutant (open bars), containing  the first 19 amino acids of <b>PSGL-1</b>, attached to CHO-P and -E monolayers at a rate similar to 148.Fc microspheres (dark bars). Microspheres coated with the Y.Fc mutant, which consists of the first 148 amino acids of <b>PSGL-1</b> with an internal deletion of the residues in  positions 511, attached to CHO-E monolayers at a rate similar to 148.Fc microspheres but did not attach to CHO-P monolayers (crosshatched bars). (Shear stress = 2 dynes/cm2; n = 2). (c) An mAb to <b>PSGL-1</b>, KPL1, which requires amino acids 511 to recognize <b>PSGL-1</b>  (Table I), did not affect attachment of 148.Fc microspheres to CHO-E monolayers but eliminated attachment to CHO-P monolayers.  148.Fc microspheres treated with mAb KPL1 attached to CHO-E monolayers at a rate similar to that observed for 148.Fc microspheres  treated with control mAb KPL2 but did not attach to CHO-P monolayers. (Shear stress = 2 dynes/cm2; *P &lt; 0.05; n = 2). (d) mAb  KPL1 eliminated attachment of 19.ek.Fc microspheres to both CHO-E and -P monolayers. (Shear stress = 2 dynes/cm2; *P &lt; 0.05; n = 2).
